Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,5.13,5.13,4.98,5,2899500,5
2012-01-04,5.04,5.06,4.92,4.98,1389900,4.98
2012-01-05,5.05,5.13,4.96,5.11,3358700,5.11
2012-01-06,5.06,5.2,5.06,5.11,1732800,5.11
2012-01-09,5.13,5.27,5.13,5.15,2026300,5.15
2012-01-10,5.02,5.07,4.97,5.07,2883000,5.07
2012-01-11,5.12,5.22,5.08,5.18,3000000,5.18
2012-01-12,5.08,5.44,4.99,5.4,3318300,5.4
2012-01-13,5.46,5.53,5.37,5.37,2356800,5.37
2012-01-16,5.34,5.35,5.29,5.29,322800,5.29
2012-01-17,5.25,5.33,5.19,5.2,1581600,5.2
2012-01-18,5.18,5.29,5.14,5.19,1917800,5.19
2012-01-19,5.13,5.28,5.12,5.23,1823900,5.23
2012-01-20,5.36,5.5,5.36,5.47,2299900,5.47
2012-01-23,5.4,5.41,5.26,5.3,2017200,5.3
2012-01-24,5.45,5.48,5.35,5.37,1700000,5.37
2012-01-25,5.46,5.55,5.25,5.3,2599900,5.3
2012-01-26,5.16,5.36,5.14,5.3,2661900,5.3
2012-01-27,5.32,5.37,5.23,5.33,2444400,5.33
2012-01-30,5.41,5.45,5.33,5.4,1196100,5.4
2012-01-31,5.18,5.51,5.16,5.45,2696300,5.45
2012-02-01,5.37,5.58,5.34,5.58,1853600,5.58
2012-02-02,5.63,5.79,5.6,5.66,2624800,5.66
2012-02-03,5.62,5.66,5.5,5.51,1566200,5.51
2012-02-06,5.59,5.64,5.53,5.58,1218200,5.58
2012-02-07,5.66,5.67,5.37,5.4,2497900,5.4
2012-02-08,5.3,5.47,5.27,5.38,2982900,5.38
2012-02-09,5.28,5.33,5.25,5.3,2221800,5.3
2012-02-10,5.48,5.52,5.38,5.38,1848600,5.38
2012-02-13,5.25,5.34,5.17,5.18,3974400,5.18
2012-02-14,5.1,5.22,5.07,5.14,1981800,5.14
2012-02-15,5.09,5.13,5.05,5.06,2144200,5.06
2012-02-16,5.1,5.11,4.99,5.03,1925800,5.03
2012-02-17,4.93,4.99,4.9,4.91,2763800,4.91
2012-02-21,4.8,4.83,4.67,4.7,2935000,4.7
2012-02-22,4.73,4.73,4.64,4.7,2121600,4.7
2012-02-23,4.7,4.75,4.5,4.52,3119200,4.52
2012-02-24,4.46,4.52,4.36,4.37,4120300,4.37
2012-02-27,4.47,4.58,4.41,4.55,2517300,4.55
2012-02-28,4.52,4.66,4.45,4.62,2346100,4.62
2012-02-29,4.62,4.77,4.56,4.59,2619000,4.59
2012-03-01,4.54,4.61,4.31,4.43,2696500,4.43
2012-03-02,4.52,4.69,4.5,4.62,2711700,4.62
2012-03-05,4.59,4.66,4.58,4.58,1429700,4.58
2012-03-06,4.75,4.79,4.7,4.77,2435300,4.77
2012-03-07,4.78,4.82,4.63,4.66,1692100,4.66
2012-03-08,4.63,4.67,4.57,4.61,845900,4.61
2012-03-09,4.61,4.61,4.49,4.53,1606400,4.53
2012-03-12,4.65,4.71,4.62,4.63,1058300,4.63
2012-03-13,4.66,4.69,4.54,4.6,812700,4.6
2012-03-14,4.62,4.72,4.58,4.68,1172100,4.68
2012-03-15,4.68,4.85,4.66,4.72,2627200,4.72
2012-03-16,4.68,4.71,4.54,4.55,1497700,4.55
2012-03-19,4.51,4.54,4.47,4.48,1165400,4.48
2012-03-20,4.58,4.7,4.58,4.66,2141900,4.66
2012-03-21,4.64,4.66,4.55,4.61,1201900,4.61
2012-03-22,4.77,4.8,4.72,4.73,1476900,4.73
2012-03-23,4.71,4.75,4.49,4.61,1451400,4.61
2012-03-26,4.6,4.62,4.57,4.59,763200,4.59
2012-03-27,4.57,4.62,4.53,4.6,991000,4.6
2012-03-28,4.7,4.79,4.7,4.71,1834500,4.71
2012-03-29,4.75,5.01,4.73,4.92,4827100,4.92
2012-03-30,4.89,4.95,4.84,4.94,1579700,4.94
2012-04-02,5,5.02,4.71,4.74,1778100,4.74
2012-04-03,4.74,4.87,4.74,4.81,1146300,4.81
2012-04-04,4.94,5.1,4.92,5.02,3056400,5.02
2012-04-05,5.05,5.05,4.88,4.9,1200000,4.9
2012-04-09,5.06,5.12,4.96,4.98,1300000,4.98
2012-04-10,5,5.13,4.92,5.09,1205800,5.09
