Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,6.7,6.87,6.7,6.86,1767300,6.86
2012-01-04,6.79,6.94,6.76,6.89,1551300,6.89
2012-01-05,6.78,6.91,6.66,6.68,2705300,6.68
2012-01-06,6.76,6.76,6.57,6.69,1572100,6.69
2012-01-09,6.66,6.67,6.47,6.65,2260600,6.65
2012-01-10,6.8,6.85,6.72,6.74,2338700,6.74
2012-01-11,6.65,6.71,6.53,6.59,2100000,6.59
2012-01-12,6.71,6.83,6.26,6.31,3208300,6.31
2012-01-13,6.26,6.34,6.16,6.33,2461300,6.33
2012-01-16,6.39,6.43,6.35,6.41,491300,6.41
2012-01-17,6.48,6.55,6.38,6.54,2042700,6.54
2012-01-18,6.56,6.61,6.42,6.55,2275900,6.55
2012-01-19,6.62,6.64,6.43,6.5,2373300,6.5
2012-01-20,6.33,6.33,6.16,6.2,3921500,6.2
2012-01-23,6.27,6.43,6.26,6.39,3262800,6.39
2012-01-24,6.21,6.33,6.18,6.29,2700000,6.29
2012-01-25,6.21,6.44,6.1,6.38,3373800,6.38
2012-01-26,6.55,6.57,6.31,6.38,2877400,6.38
2012-01-27,6.36,6.47,6.3,6.36,2438700,6.36
2012-01-30,6.25,6.34,6.21,6.27,1716900,6.27
2012-01-31,6.51,6.53,6.14,6.2,4682700,6.2
2012-02-01,6.28,6.32,6.05,6.07,4248400,6.07
2012-02-02,6,6.03,5.83,5.98,4357800,5.98
2012-02-03,6.02,6.13,5.95,6.12,3129500,6.12
2012-02-06,6.04,6.09,5.97,6.05,1663000,6.05
2012-02-07,5.96,6.26,5.94,6.23,3741500,6.23
2012-02-08,6.34,6.39,6.15,6.26,3304300,6.26
2012-02-09,6.36,6.4,6.3,6.35,2764300,6.35
2012-02-10,6.12,6.25,6.08,6.25,2824500,6.25
2012-02-13,6.4,6.49,6.3,6.46,3067700,6.46
2012-02-14,6.57,6.59,6.41,6.51,2020800,6.51
2012-02-15,6.58,6.63,6.52,6.63,1822300,6.63
2012-02-16,6.58,6.7,6.55,6.65,1611500,6.65
2012-02-17,6.79,6.82,6.71,6.81,1641300,6.81
2012-02-21,6.95,7.15,6.92,7.1,2958100,7.1
2012-02-22,7.08,7.19,7.05,7.1,2011400,7.1
2012-02-23,7.1,7.39,7.02,7.37,2638600,7.37
2012-02-24,7.45,7.62,7.36,7.61,2505700,7.61
2012-02-27,7.44,7.54,7.26,7.32,2155100,7.32
2012-02-28,7.36,7.45,7.13,7.18,2479700,7.18
2012-02-29,7.18,7.26,6.94,7.22,2790100,7.22
2012-03-01,7.3,7.69,7.19,7.51,3459800,7.51
2012-03-02,7.34,7.35,7.05,7.16,2840000,7.16
2012-03-05,7.22,7.23,7.08,7.22,2383200,7.22
2012-03-06,6.93,7.03,6.87,6.93,2689400,6.93
2012-03-07,6.91,7.13,6.86,7.09,1978500,7.09
2012-03-08,7.13,7.21,7.04,7.17,1816700,7.17
2012-03-09,7.17,7.34,7.14,7.25,1416600,7.25
2012-03-12,7.08,7.13,6.98,7.11,940200,7.11
2012-03-13,7.09,7.24,7.03,7.16,1223500,7.16
2012-03-14,7.12,7.2,6.95,7.03,1196700,7.03
2012-03-15,7.02,7.05,6.76,6.97,2256100,6.97
2012-03-16,7.02,7.23,6.99,7.23,1521200,7.23
2012-03-19,7.28,7.34,7.25,7.32,1183700,7.32
2012-03-20,7.13,7.14,6.94,7.01,1971400,7.01
2012-03-21,7.05,7.19,7.02,7.1,1387700,7.1
2012-03-22,6.84,6.92,6.78,6.9,2427800,6.9
2012-03-23,6.92,7.26,6.87,7.09,2039100,7.09
2012-03-26,7.09,7.13,7.06,7.11,671000,7.11
2012-03-27,7.14,7.19,7.05,7.1,1000000,7.1
2012-03-28,6.91,6.92,6.8,6.91,2117000,6.91
2012-03-29,6.86,6.88,6.47,6.6,2426700,6.6
2012-03-30,6.64,6.71,6.55,6.58,1182100,6.58
2012-04-02,6.49,6.88,6.46,6.84,1874400,6.84
2012-04-03,6.81,6.84,6.65,6.72,894100,6.72
2012-04-04,6.55,6.57,6.32,6.44,2306600,6.44
2012-04-05,6.4,6.6,6.4,6.57,1100000,6.57
2012-04-09,6.35,6.49,6.29,6.47,1300000,6.47
2012-04-10,6.46,6.54,6.27,6.33,1355300,6.33
2012-04-11,6.37,6.55,6.35,6.48,1374100,6.48
2012-04-12,6.53,6.68,6.53,6.62,1101500,6.62
2012-04-13,6.55,6.58,6.49,6.52,636000,6.52
2012-04-16,6.53,6.58,6.39,6.54,881500,6.54
2012-04-17,6.74,6.77,6.66,6.68,1329600,6.68
2012-04-18,6.63,6.66,6.43,6.49,1117200,6.49
2012-04-19,6.49,6.52,6.37,6.47,1146000,6.47
2012-04-20,6.62,6.66,6.52,6.59,1057400,6.59
2012-04-23,6.39,6.48,6.32,6.47,1375200,6.47
2012-04-24,6.58,6.6,6.48,6.52,812900,6.52
2012-04-25,6.57,6.65,6.48,6.6,1629200,6.6
2012-04-26,6.61,6.7,6.6,6.65,1060700,6.65
2012-04-27,6.65,6.71,6.59,6.68,845500,6.68
2012-04-30,6.61,6.73,6.59,6.68,575000,6.68
2012-05-01,6.68,6.89,6.68,6.84,1274000,6.84
2012-05-02,6.8,6.81,6.71,6.75,1028200,6.75
2012-05-03,6.6,6.61,6.38,6.4,1800000,6.4
2012-05-04,6.2,6.2,5.77,5.89,4454600,5.89
2012-05-07,5.74,5.84,5.64,5.82,1470400,5.82
2012-05-08,5.71,5.76,5.54,5.75,1742500,5.75
2012-05-09,5.56,5.68,5.5,5.65,2100000,5.65
2012-05-10,5.77,5.77,5.66,5.68,1200000,5.68
2012-05-11,5.57,5.72,5.56,5.57,1014800,5.57
2012-05-14,5.4,5.47,5.34,5.36,1400000,5.36
2012-05-15,5.43,5.47,5.25,5.27,1548500,5.27
2012-05-16,5.23,5.36,5.17,5.2,1600000,5.2
2012-05-17,5.3,5.3,5.14,5.18,1545700,5.18
2012-05-18,5.15,5.18,5.01,5.02,1500000,5.02
2012-05-22,5.15,5.17,5,5.03,1400000,5.03
2012-05-23,5,5.01,4.79,4.91,2343100,4.91
2012-05-24,4.97,5.01,4.89,4.95,1782900,4.95
2012-05-25,4.94,4.98,4.93,4.95,790900,4.95
2012-05-28,5.02,5.02,4.97,5.01,633900,5.01
2012-05-29,5.04,5.09,4.89,4.94,1940500,4.94
2012-05-30,4.75,4.75,4.58,4.59,2407400,4.59
2012-05-31,4.6,4.61,4.42,4.48,1681400,4.48
2012-06-01,4.25,4.27,4.05,4.14,4886200,4.14
2012-06-04,4.13,4.25,4.09,4.25,2629800,4.25
2012-06-05,4.21,4.25,4.18,4.24,3521600,4.24
2012-06-06,4.33,4.43,4.3,4.34,2406400,4.34
2012-06-07,4.49,4.51,4.2,4.23,2225300,4.23
2012-06-08,4.08,4.26,4.07,4.24,2139700,4.24
2012-06-11,4.28,4.28,3.95,3.96,2577800,3.96
2012-06-12,4.11,4.17,4.07,4.15,1774300,4.15
2012-06-13,4.05,4.2,4.03,4.06,2303600,4.06
2012-06-14,4.09,4.24,4.05,4.23,3078500,4.23
2012-06-15,4.21,4.24,4.15,4.21,1606000,4.21
2012-06-18,4.06,4.18,4.02,4.12,2461500,4.12
2012-06-19,4.22,4.23,4.17,4.22,2104700,4.22
2012-06-20,4.18,4.18,3.86,3.89,6087500,3.89
2012-06-21,3.85,3.87,3.59,3.63,4592300,3.63
2012-06-22,3.66,3.79,3.63,3.78,2250600,3.78
2012-06-25,3.68,3.71,3.59,3.7,3107600,3.7
2012-06-26,3.7,3.73,3.62,3.7,2182900,3.7
2012-06-27,3.78,3.84,3.75,3.81,3312900,3.81
2012-06-28,3.75,3.75,3.51,3.62,3742400,3.62
2012-06-29,3.91,4.22,3.87,4.17,7504400,4.17
2012-07-03,4.38,4.48,4.36,4.45,6865500,4.45
2012-07-04,4.4,4.41,4.38,4.38,1067300,4.38
2012-07-05,4.39,4.48,4.34,4.38,3264400,4.38
2012-07-06,4.16,4.21,4.09,4.1,3849100,4.1
2012-07-09,4.12,4.32,4.12,4.25,2007900,4.25
2012-07-10,4.25,4.25,4.05,4.08,2893900,4.08
2012-07-11,4.18,4.31,4.15,4.29,2843600,4.29
2012-07-12,4.16,4.3,4.1,4.25,1330800,4.25
2012-07-13,4.3,4.42,4.3,4.37,1724100,4.37
2012-07-16,4.39,4.52,4.35,4.49,1846900,4.49
2012-07-17,4.57,4.6,4.41,4.56,4980800,4.56
2012-07-18,4.57,4.66,4.57,4.65,2527300,4.65
2012-07-19,4.78,4.96,4.78,4.91,4080600,4.91
2012-07-20,4.78,4.85,4.73,4.79,1815100,4.79
2012-07-23,4.44,4.59,4.41,4.45,2249400,4.45
2012-07-24,4.47,4.51,4.41,4.48,2327400,4.48
2012-07-25,4.48,4.54,4.3,4.5,2283300,4.5
2012-07-26,4.62,4.65,4.52,4.56,1509300,4.56
2012-07-27,4.58,4.65,4.55,4.63,1292400,4.63
2012-07-30,4.61,4.64,4.55,4.56,890600,4.56
2012-07-31,4.57,4.58,4.35,4.35,1698600,4.35
2012-08-01,4.44,4.54,4.41,4.49,1676500,4.49
2012-08-02,4.34,4.45,4.3,4.33,2511900,4.33
2012-08-03,4.56,4.76,4.56,4.71,3648900,4.71
2012-08-07,4.86,5.04,4.85,4.95,3161200,4.95
2012-08-08,4.98,5.07,4.89,4.94,1260000,4.94
2012-08-09,4.97,5.02,4.92,4.95,1124400,4.95
2012-08-10,4.83,4.93,4.79,4.93,1181100,4.93
2012-08-13,4.95,4.97,4.81,4.87,1345100,4.87
2012-08-14,4.94,4.99,4.9,4.94,1385500,4.94
2012-08-15,4.88,5.09,4.88,5.03,2486300,5.03
